Swim Date,Swim Time,Set #,Set,Interval (m),Length (m),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (m),Cumul Dist (m),Avg DPS,Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
02/14/2023,07:06:08AM,6,16x100,100,25,FR,00:19.6,00:00.0,25:26.2,1,25,1225,1.24,01:18.3,00:39.1,38,60,18,18,5
02/14/2023,07:16:23AM,6,16x100,100,25,FR,00:19.9,00:00.0,35:41.9,1,25,1725,1.16,01:19.6,00:39.8,40,60,20,20,5
02/14/2023,07:26:36AM,6,16x100,100,25,FR,00:20.7,00:00.0,45:55.3,1,25,2225,1.07,01:22.8,00:41.4,40,61,19,19,5
02/14/2023,07:24:28AM,6,16x100,100,25,FR,00:21.1,00:00.0,43:47.9,1,25,2125,1.16,01:24.3,00:42.1,40,58,19,19,5
02/14/2023,07:14:20AM,6,16x100,100,25,FR,00:21.3,00:00.0,33:40.3,1,25,1625,1.2,01:25.0,00:42.5,40,56,19,19,5
02/14/2023,07:04:07AM,6,16x100,100,25,FR,00:21.3,00:00.0,23:26.8,1,25,1125,1.21,01:25.2,00:42.6,39,55,18,18,5
02/14/2023,07:02:06AM,6,16x100,100,25,FR,00:21.9,00:00.0,21:26.3,1,25,1025,1.26,01:27.8,00:43.9,39,51,17,17,5
02/14/2023,07:12:17AM,6,16x100,100,25,FR,00:22.1,00:00.0,31:37.5,1,25,1525,1.23,01:28.4,00:44.2,41,51,19,19,5
02/14/2023,06:44:39AM,1,1x200,200,0,REST,00:00.0,00:25.0,04:02.9,1,0,200,0,00:00.0,00:00.0,0,0,0,0,0
02/14/2023,06:45:04AM,2,1x100,100,25,REST,00:00.0,00:20.2,04:23.1,1,25,225,0,01:20.7,00:40.4,20,0,0,0,5
02/14/2023,06:45:24AM,2,1x100,100,25,REST,00:00.0,00:26.2,04:49.3,1,25,250,0,01:44.9,00:52.5,26,0,0,0,6
